year,city,country,avg_temp,local,avg_temp,global
1954,Riyadh,Saudi Arabia,25.8,,7.85,
1955,Riyadh,Saudi Arabia,25.33,,7.56,
1956,Riyadh,Saudi Arabia,25.02,,8.11,
1957,Riyadh,Saudi Arabia,24.69,,7.98,
1958,Riyadh,Saudi Arabia,25.64,,8.18,
1959,Riyadh,Saudi Arabia,24.14,,8.29,
1960,Riyadh,Saudi Arabia,25.67,,8.44,
1961,Riyadh,Saudi Arabia,25.12,,8.25,
1962,Riyadh,Saudi Arabia,26.1,,8.43,
1963,Riyadh,Saudi Arabia,25.54,25.407,8.2,8.277
1964,Riyadh,Saudi Arabia,25.14,,8.12,
1965,Riyadh,Saudi Arabia,25.59,,8.19,
1966,Riyadh,Saudi Arabia,26.16,,8.35,
1967,Riyadh,Saudi Arabia,24.87,,8.43,
1968,Riyadh,Saudi Arabia,25.21,,7.86,
1969,Riyadh,Saudi Arabia,26.05,,8.08,
1970,Riyadh,Saudi Arabia,25.84,,8.54,
1971,Riyadh,Saudi Arabia,24.93,,8.83,
1972,Riyadh,Saudi Arabia,24.74,,8.17,
1973,Riyadh,Saudi Arabia,25.6,25.555,8.12,8.046
1974,Riyadh,Saudi Arabia,25.4,,8.27,
1975,Riyadh,Saudi Arabia,25.04,,8.13,
1976,Riyadh,Saudi Arabia,24.97,,7.98,
1977,Riyadh,Saudi Arabia,25.99,,7.77,
1978,Riyadh,Saudi Arabia,25.95,,7.92,
1979,Riyadh,Saudi Arabia,26.2,,7.95,
1980,Riyadh,Saudi Arabia,25.83,,7.91,
1981,Riyadh,Saudi Arabia,25.95,,8.09,
1982,Riyadh,Saudi Arabia,24.62,,8.32,
1983,Riyadh,Saudi Arabia,24.85,25.347,7.97,8.151
1984,Riyadh,Saudi Arabia,25.05,,8.02,
1985,Riyadh,Saudi Arabia,25.3,,8.07,
1986,Riyadh,Saudi Arabia,25.36,,8.06,
1987,Riyadh,Saudi Arabia,26.37,,8.16,
1988,Riyadh,Saudi Arabia,25.99,,8.15,
1989,Riyadh,Saudi Arabia,25.05,,8.21,
1990,Riyadh,Saudi Arabia,25.7,,8.29,
1991,Riyadh,Saudi Arabia,25.43,,8.18,
1992,Riyadh,Saudi Arabia,24.37,,8.4,
1993,Riyadh,Saudi Arabia,25.42,26.222,8.5,8.258
1994,Riyadh,Saudi Arabia,26.08,,8.54,
1995,Riyadh,Saudi Arabia,25.64,,8.3,
1996,Riyadh,Saudi Arabia,26.28,,8.22,
1997,Riyadh,Saudi Arabia,25.49,,8.09,
1998,Riyadh,Saudi Arabia,26.73,,8.23,
1999,Riyadh,Saudi Arabia,26.92,,8.38,
2000,Riyadh,Saudi Arabia,26.55,,7.95,
2001,Riyadh,Saudi Arabia,26.67,,8.19,
2002,Riyadh,Saudi Arabia,26.44,,8.18,
2003,Riyadh,Saudi Arabia,26.62,26.534,8.22,8.281
2004,Riyadh,Saudi Arabia,26.2,,8.18,
2005,Riyadh,Saudi Arabia,26.27,,8.17,
2006,Riyadh,Saudi Arabia,26.24,,8.3,
2007,Riyadh,Saudi Arabia,26.49,,8.59,
2008,Riyadh,Saudi Arabia,26.21,,8.59,
2009,Riyadh,Saudi Arabia,26.71,,8.23,
2010,Riyadh,Saudi Arabia,27.37,,8.02,
2011,Riyadh,Saudi Arabia,26.4,,8.13,
2012,Riyadh,Saudi Arabia,26.83,,8.38,
2013,Riyadh,Saudi Arabia,27.78,27.78,8.36,8.36
